RUN,DPCOEF,POROS,MMP,SOINIT,SWINIT,XKVH,SORW,SORG,SORM,SGR,SSR,SWC,SWIR,KWRO,KRSMAX,W,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
166,0.7,0.094,1736.0,0.466,0.534,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.66,6.39
167,0.89,0.1,1510.0,0.368,0.632,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.01,2.31
168,0.85,0.062,1691.0,0.351,0.649,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.87,2.43
169,0.7,0.09,1623.0,0.349,0.651,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.34,3.31
170,0.81,0.099,1726.0,0.362,0.638,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.11,2.84
171,0.77,0.098,1341.0,0.439,0.561,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.5,4.75
172,0.94,0.104,1799.0,0.418,0.582,0.06,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
173,0.81,0.075,1680.0,0.446,0.554,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.42,4.56
174,0.78,0.122,1795.0,0.395,0.605,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.62,3.59
175,0.92,0.106,1710.0,0.407,0.593,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.51,2.65
176,0.99,0.111,1707.0,0.419,0.581,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
177,0.91,0.094,1346.0,0.468,0.532,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.5,3.84
178,0.74,0.078,1792.0,0.425,0.575,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.37,4.63
179,0.71,0.072,1398.0,0.458,0.542,0.02,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.33,5.97
180,0.85,0.077,1360.0,0.398,0.602,0.06,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.45,3.13
181,0.93,0.066,1763.0,0.4,0.6,0.06,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.41,2.5
